frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
10,0.333,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
11,0.367,False,0.506,0.543,0.658,33.036,False,0.541,0.232,0.438,acceptable,,,
12,0.4,False,0.521,0.539,0.653,32.65,False,0.568,0.235,0.445,acceptable,,,
13,0.433,False,0.524,0.534,0.635,31.621,False,0.591,0.244,0.449,acceptable,,,
14,0.467,False,0.529,0.525,0.601,29.816,False,0.602,0.258,0.451,acceptable,,,
15,0.5,False,0.522,0.522,0.573,29.082,False,0.599,0.276,0.453,acceptable,,,
16,0.533,False,0.513,0.532,0.551,28.533,False,0.588,0.296,0.456,acceptable,,,
17,0.567,False,0.461,0.575,0.537,28.299,False,0.559,0.311,0.454,acceptable,,,
18,0.6,False,0.42,0.634,0.556,30.158,False,0.58,0.298,0.458,acceptable,,,
19,0.633,False,0.424,0.69,0.564,30.026,False,0.613,0.263,0.463,acceptable,,,
20,0.667,True,0.399,0.764,0.53,27.375,False,0.624,0.239,0.463,caution,,,
21,0.7,True,0.349,0.813,0.472,24.506,False,0.624,0.24,0.457,caution,,,
22,0.733,True,0.26,0.862,0.438,24.113,False,0.625,0.244,0.448,caution,,,
23,0.767,True,0.167,0.918,0.435,25.139,False,0.631,0.219,0.432,caution,,,
24,0.8,True,0.086,0.886,0.526,31.556,False,0.643,0.183,0.408,caution,,,
25,0.833,True,0.059,0.813,0.469,38.883,False,0.663,0.212,0.395,caution,,,
26,0.867,True,0.052,0.759,0.437,38.38,False,0.672,0.301,0.412,caution,,,
27,0.9,True,0.06,0.753,0.373,31.556,False,0.663,0.343,0.419,caution,,,
28,0.933,True,0.03,0.789,0.436,46.319,False,0.634,0.351,0.426,caution,,,
29,0.967,True,0.015,0.841,0.452,42.802,False,0.608,0.357,0.433,caution,,,
30,1.0,True,0.016,0.87,0.476,48.551,False,0.583,0.31,0.421,caution,,,
31,1.033,True,0.033,0.841,0.238,,False,0.59,0.291,0.389,caution,,,
32,1.067,True,0.085,0.757,0.119,,False,0.627,0.317,0.385,caution,,,
33,1.1,True,0.19,0.811,0.06,,False,0.673,0.332,0.423,caution,,,
34,1.133,True,0.262,0.843,0.03,,False,0.694,0.342,0.448,caution,,,
35,1.167,True,0.365,0.912,0.015,,False,0.719,0.316,0.475,caution,,,
36,1.2,True,0.469,0.956,0.007,,False,0.746,0.286,0.498,caution,,,
37,1.233,True,0.498,0.978,0.004,,False,0.757,0.283,0.508,caution,,,
38,1.267,True,0.456,0.971,0.002,,False,0.763,0.295,0.503,caution,,,
39,1.3,True,0.378,0.939,0.083,21.463,False,0.761,0.309,0.494,caution,,,
40,1.333,True,0.328,0.876,0.09,16.809,False,0.752,0.335,0.48,caution,,,
41,1.367,True,0.302,0.814,0.045,9.788,False,0.752,0.35,0.463,caution,,,
42,1.4,True,0.293,0.738,0.023,,False,0.756,0.367,0.45,caution,,,
43,1.433,True,0.322,0.667,0.011,,False,0.772,0.357,0.44,caution,,,
44,1.467,True,0.345,0.618,0.006,,False,0.782,0.353,0.434,caution,,,
45,1.5,True,0.356,0.605,0.003,,False,0.776,0.36,0.435,caution,,,
46,1.533,True,0.363,0.601,0.001,,False,0.77,0.372,0.439,caution,,,
47,1.567,True,0.369,0.598,0.001,4.722,False,0.78,0.369,0.439,caution,,,
48,1.6,True,0.373,0.587,0.0,5.021,False,0.787,0.369,0.439,caution,,,
49,1.633,True,0.378,0.578,0.0,7.991,False,0.788,0.382,0.443,caution,,,
50,1.667,True,0.379,0.583,0.016,12.167,False,0.777,0.407,0.453,caution,,,
51,1.7,True,0.376,0.598,0.019,11.597,False,0.75,0.444,0.465,caution,,,
52,1.733,True,0.365,0.618,0.126,18.165,False,0.734,0.469,0.483,caution,,,
53,1.767,True,0.356,0.632,0.19,18.873,False,0.723,0.487,0.495,caution,,,
54,1.8,True,0.352,0.657,0.268,22.086,False,0.717,0.5,0.511,caution,,,
55,1.833,True,0.333,0.682,0.274,19.843,False,0.72,0.488,0.509,caution,,,
56,1.867,True,0.302,0.699,0.264,18.875,False,0.723,0.448,0.492,caution,,,
57,1.9,True,0.269,0.748,0.183,13.554,False,0.732,0.418,0.478,caution,,,
58,1.933,True,0.258,0.782,0.166,15.208,False,0.742,0.418,0.482,caution,,,
59,1.967,True,0.261,0.784,0.119,0.137,False,0.748,0.434,0.485,caution,,,
60,2.0,True,0.274,0.775,0.324,31.619,False,0.753,0.387,0.491,caution,,,
61,2.033,True,0.305,0.765,0.412,29.82,True,0.754,0.325,0.482,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
62,2.067,True,0.365,0.762,0.456,28.107,True,0.755,0.24,0.469,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
63,2.1,True,0.352,0.76,0.426,22.427,False,0.745,0.221,0.454,caution,,,
64,2.133,True,0.269,0.715,0.291,13.716,False,0.744,0.218,0.414,caution,,,
65,2.167,True,0.135,0.637,0.205,8.698,False,0.764,0.196,0.358,caution,,,
66,2.2,True,0.067,0.543,0.187,10.309,False,0.783,0.14,0.307,caution,,,
67,2.233,True,0.034,0.446,0.216,18.533,False,0.75,0.1,0.265,acceptable,,,
68,2.267,True,0.017,0.471,0.186,15.03,False,0.709,0.063,0.245,acceptable,,,
69,2.3,True,0.07,0.51,0.244,20.593,False,0.667,0.056,0.26,acceptable,,,
70,2.333,True,0.178,0.53,0.355,26.282,False,0.635,0.069,0.297,acceptable,,,
71,2.367,True,0.157,0.531,0.475,39.678,False,0.639,0.063,0.303,acceptable,,,
