frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.771,0.425,24.868,False,0.698,0.351,0.424,acceptable,,,
9,0.3,False,0.0,0.771,0.424,24.814,False,0.694,0.353,0.424,acceptable,,,
10,0.333,False,0.0,0.77,0.425,24.916,False,0.692,0.352,0.424,acceptable,,,
11,0.367,False,0.016,0.765,0.422,24.645,False,0.697,0.337,0.421,acceptable,,,
12,0.4,False,0.07,0.755,0.444,26.313,False,0.73,0.263,0.411,acceptable,,,
13,0.433,False,0.121,0.749,0.474,27.665,False,0.757,0.215,0.41,acceptable,,,
14,0.467,False,0.175,0.751,0.338,24.09,False,0.773,0.196,0.403,acceptable,,,
15,0.5,False,0.159,0.775,0.279,25.401,False,0.773,0.189,0.397,acceptable,,,
16,0.533,False,0.08,0.8,0.259,26.77,False,0.772,0.198,0.387,acceptable,,,
17,0.567,True,0.091,0.82,0.272,29.933,False,0.78,0.262,0.418,caution,,,
18,0.6,True,0.091,0.84,0.278,29.853,False,0.769,0.302,0.435,caution,,,
19,0.633,True,0.051,0.874,0.179,15.581,False,0.733,0.351,0.436,caution,,,
20,0.667,True,0.027,0.903,0.125,15.0,False,0.695,0.381,0.436,caution,,,
21,0.7,True,0.035,0.929,0.063,,False,0.66,0.353,0.422,caution,,,
22,0.733,True,0.048,0.954,0.031,,False,0.639,0.312,0.409,caution,,,
23,0.767,True,0.115,0.941,0.016,,False,0.633,0.309,0.416,caution,,,
24,0.8,True,0.194,0.833,0.008,,False,0.645,0.335,0.42,caution,,,
25,0.833,True,0.254,0.804,0.004,,False,0.658,0.346,0.432,caution,,,
26,0.867,True,0.284,0.815,0.134,28.491,False,0.677,0.359,0.46,caution,,,
27,0.9,True,0.316,0.907,0.187,26.831,False,0.719,0.372,0.501,caution,,,
28,0.933,True,0.334,0.954,0.205,25.536,False,0.758,0.382,0.525,caution,,,
29,0.967,True,0.342,0.977,0.22,26.454,False,0.782,0.395,0.541,caution,,,
30,1.0,True,0.338,0.988,0.24,28.215,False,0.796,0.379,0.541,caution,,,
31,1.033,True,0.341,0.994,0.246,27.704,False,0.796,0.371,0.541,caution,,,
32,1.067,True,0.337,0.997,0.252,28.092,False,0.795,0.377,0.543,caution,,,
33,1.1,True,0.318,0.941,0.255,28.025,False,0.782,0.403,0.536,caution,,,
34,1.133,True,0.304,0.898,0.127,,False,0.765,0.424,0.516,caution,,,
35,1.167,True,0.291,0.838,0.064,,False,0.75,0.454,0.504,caution,,,
36,1.2,True,0.284,0.789,0.032,,False,0.743,0.48,0.497,caution,,,
37,1.233,True,0.279,0.752,0.016,,False,0.739,0.503,0.495,caution,,,
38,1.267,True,0.28,0.672,0.008,,False,0.734,0.521,0.484,caution,,,
39,1.3,True,0.29,0.67,0.004,,False,0.738,0.52,0.485,caution,,,
40,1.333,True,0.299,0.666,0.002,,False,0.749,0.507,0.483,caution,,,
41,1.367,True,0.307,0.665,0.001,,False,0.766,0.488,0.48,caution,,,
42,1.4,True,0.315,0.666,0.0,,False,0.778,0.473,0.478,caution,,,
43,1.433,True,0.323,0.666,0.0,,False,0.781,0.465,0.478,caution,,,
44,1.467,True,0.327,0.669,0.0,2.503,False,0.781,0.46,0.478,caution,,,
45,1.5,True,0.331,0.674,0.0,4.305,False,0.781,0.459,0.479,caution,,,
46,1.533,True,0.333,0.679,0.0,5.031,False,0.781,0.46,0.48,caution,,,
47,1.567,False,0.345,0.682,0.0,5.853,False,0.776,0.464,0.485,acceptable,,,
48,1.6,False,0.355,0.657,0.0,4.652,False,0.784,0.449,0.477,acceptable,,,
49,1.633,True,0.359,0.625,0.0,4.275,False,0.809,0.423,0.466,caution,,,
50,1.667,True,0.355,0.603,0.0,3.747,False,0.826,0.405,0.457,caution,,,
51,1.7,True,0.328,0.596,0.0,4.645,False,0.829,0.387,0.445,caution,,,
52,1.733,True,0.3,0.598,0.0,4.738,False,0.827,0.373,0.434,caution,,,
53,1.767,True,0.275,0.615,0.0,3.781,False,0.818,0.356,0.425,caution,,,
54,1.8,True,0.284,0.643,0.0,5.409,False,0.811,0.329,0.422,caution,,,
55,1.833,True,0.271,0.699,0.17,21.868,False,0.784,0.337,0.447,caution,,,
56,1.867,True,0.263,0.773,0.299,24.98,False,0.761,0.378,0.484,caution,,,
57,1.9,True,0.267,0.799,0.31,21.212,False,0.752,0.426,0.506,caution,,,
58,1.933,True,0.287,0.804,0.271,18.108,False,0.754,0.411,0.502,caution,,,
59,1.967,True,0.296,0.8,0.292,20.962,False,0.755,0.368,0.491,caution,,,
60,2.0,True,0.306,0.794,0.399,27.686,False,0.753,0.316,0.483,caution,,,
61,2.033,True,0.372,0.791,0.487,30.143,False,0.761,0.244,0.481,caution,,,
62,2.067,True,0.373,0.788,0.498,27.795,False,0.798,0.222,0.479,caution,,,
63,2.1,True,0.306,0.772,0.408,21.132,False,0.892,0.195,0.459,caution,,,
64,2.133,True,0.264,0.701,0.354,20.33,False,0.946,0.186,0.435,caution,,,
65,2.167,True,0.209,0.607,0.344,21.684,False,0.973,0.165,0.401,caution,,,
66,2.2,True,0.162,0.531,0.404,26.258,False,0.986,0.151,0.38,caution,,,
67,2.233,True,0.219,0.459,0.558,34.92,False,0.993,0.129,0.386,caution,,,
68,2.267,True,0.337,0.469,0.653,36.205,False,0.952,0.127,0.414,caution,,,
69,2.3,True,0.363,0.572,0.666,33.746,False,0.844,0.127,0.425,caution,,,
70,2.333,True,0.335,0.615,0.649,32.145,False,0.704,0.117,0.402,caution,,,
71,2.367,True,0.269,0.664,0.67,34.14,False,0.681,0.12,0.398,caution,,,
72,2.4,True,0.25,0.677,0.67,33.464,False,0.707,0.126,0.402,caution,,,
73,2.433,True,0.223,0.74,0.625,30.307,False,0.752,0.141,0.417,caution,,,
74,2.467,True,0.211,0.796,0.557,27.108,False,0.798,0.159,0.432,caution,,,
75,2.5,True,0.215,0.831,0.592,31.945,False,0.841,0.197,0.463,caution,,,
76,2.533,True,0.255,0.836,0.589,30.504,False,0.86,0.231,0.487,caution,,,
77,2.567,True,0.292,0.825,0.456,21.338,False,0.852,0.25,0.484,caution,,,
78,2.6,True,0.329,0.799,0.391,21.374,False,0.817,0.267,0.481,caution,,,
79,2.633,True,0.347,0.767,0.388,23.477,False,0.774,0.281,0.476,caution,,,
80,2.667,True,0.371,0.717,0.422,25.979,False,0.742,0.281,0.469,caution,,,
81,2.7,True,0.417,0.65,0.484,29.136,False,0.724,0.251,0.459,caution,,,
82,2.733,True,0.437,0.631,0.523,29.676,False,0.736,0.235,0.459,caution,,,
83,2.767,True,0.517,0.647,0.621,35.159,False,0.763,0.257,0.499,caution,,,
84,2.8,True,0.547,0.649,0.675,35.527,False,0.776,0.27,0.518,caution,,,
