frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.072,0.758,0.504,27.625,False,0.702,0.504,0.498,acceptable,,,
8,0.267,False,0.068,0.757,0.505,27.743,False,0.692,0.449,0.476,acceptable,,,
9,0.3,False,0.067,0.756,0.522,28.856,False,0.689,0.406,0.462,acceptable,,,
10,0.333,False,0.06,0.753,0.477,25.098,False,0.707,0.345,0.437,acceptable,,,
11,0.367,False,0.117,0.7,0.396,21.064,False,0.76,0.303,0.423,acceptable,,,
12,0.4,False,0.189,0.617,0.282,21.666,False,0.806,0.249,0.397,acceptable,,,
13,0.433,False,0.244,0.568,0.219,20.931,False,0.835,0.197,0.378,acceptable,,,
14,0.467,False,0.299,0.526,0.184,20.475,False,0.85,0.159,0.367,acceptable,,,
15,0.5,False,0.312,0.505,0.143,17.054,False,0.824,0.159,0.357,acceptable,,,
16,0.533,True,0.261,0.531,0.09,12.602,False,0.724,0.199,0.346,caution,,,
17,0.567,True,0.214,0.561,0.058,11.819,False,0.658,0.255,0.349,caution,,,
18,0.6,True,0.123,0.626,0.031,10.283,False,0.667,0.297,0.357,caution,,,
19,0.633,True,0.062,0.685,0.015,6.871,False,0.68,0.256,0.342,caution,,,
20,0.667,True,0.031,0.739,0.016,11.195,False,0.706,0.296,0.365,caution,,,
21,0.7,True,0.015,0.78,0.037,14.048,False,0.725,0.352,0.395,caution,,,
22,0.733,True,0.008,0.813,0.053,14.893,False,0.723,0.362,0.405,caution,,,
23,0.767,True,0.004,0.844,0.068,15.712,False,0.696,0.347,0.402,caution,,,
24,0.8,True,0.009,0.886,0.034,,False,0.637,0.339,0.397,caution,,,
25,0.833,True,0.035,0.861,0.017,,False,0.601,0.323,0.384,caution,,,
26,0.867,True,0.06,0.829,0.008,,False,0.604,0.326,0.383,caution,,,
27,0.9,True,0.138,0.742,0.004,,False,0.641,0.351,0.396,caution,,,
28,0.933,True,0.22,0.77,0.002,,False,0.674,0.363,0.426,caution,,,
29,0.967,True,0.292,0.817,0.111,25.35,False,0.692,0.357,0.461,caution,,,
30,1.0,True,0.33,0.85,0.174,26.655,False,0.701,0.341,0.478,caution,,,
31,1.033,True,0.379,0.895,0.229,29.81,False,0.72,0.33,0.501,caution,,,
32,1.067,True,0.427,0.933,0.244,28.146,False,0.74,0.331,0.523,caution,,,
33,1.1,True,0.453,0.967,0.228,24.894,False,0.757,0.336,0.538,caution,,,
34,1.133,True,0.42,0.97,0.197,21.636,False,0.762,0.352,0.535,caution,,,
35,1.167,True,0.398,0.97,0.192,23.111,False,0.766,0.37,0.537,caution,,,
36,1.2,True,0.374,0.935,0.174,20.92,False,0.766,0.401,0.534,caution,,,
37,1.233,True,0.332,0.875,0.126,15.46,False,0.754,0.425,0.516,caution,,,
38,1.267,True,0.292,0.806,0.068,10.748,False,0.735,0.451,0.495,caution,,,
39,1.3,True,0.27,0.729,0.048,11.904,False,0.723,0.463,0.475,caution,,,
40,1.333,True,0.256,0.686,0.046,13.123,False,0.716,0.464,0.463,caution,,,
41,1.367,True,0.242,0.709,0.07,16.515,False,0.713,0.459,0.465,caution,,,
42,1.4,True,0.237,0.717,0.073,15.36,False,0.711,0.458,0.465,caution,,,
43,1.433,True,0.235,0.722,0.093,17.855,False,0.716,0.442,0.463,caution,,,
44,1.467,True,0.232,0.726,0.097,17.098,False,0.721,0.429,0.46,caution,,,
45,1.5,True,0.231,0.733,0.097,16.725,False,0.718,0.421,0.458,caution,,,
46,1.533,True,0.232,0.736,0.083,14.835,False,0.712,0.418,0.455,caution,,,
47,1.567,False,0.236,0.735,0.073,14.433,False,0.705,0.417,0.453,acceptable,,,
48,1.6,False,0.238,0.735,0.285,27.404,False,0.7,0.423,0.476,acceptable,,,
49,1.633,False,0.239,0.735,0.434,30.373,False,0.696,0.428,0.492,acceptable,,,
50,1.667,False,0.23,0.74,0.407,23.335,False,0.702,0.451,0.498,acceptable,,,
51,1.7,False,0.224,0.745,0.37,21.668,False,0.716,0.473,0.504,acceptable,,,
52,1.733,False,0.218,0.75,0.218,18.955,False,0.715,0.469,0.487,acceptable,,,
53,1.767,False,0.213,0.756,0.15,17.619,False,0.713,0.454,0.474,acceptable,,,
54,1.8,False,0.223,0.769,0.095,22.411,False,0.715,0.447,0.472,acceptable,,,
55,1.833,True,0.231,0.797,0.085,30.383,False,0.725,0.433,0.474,caution,,,
56,1.867,True,0.212,0.869,0.142,36.027,False,0.744,0.38,0.475,caution,,,
57,1.9,True,0.208,0.934,0.186,39.12,False,0.769,0.32,0.474,caution,,,
58,1.933,True,0.3,0.962,0.26,43.397,False,0.792,0.27,0.492,caution,,,
59,1.967,True,0.46,0.941,0.212,38.818,False,0.809,0.238,0.506,caution,,,
60,2.0,True,0.598,0.903,0.106,31.831,False,0.808,0.226,0.511,caution,,,
61,2.033,True,0.688,0.868,0.066,34.947,False,0.794,0.217,0.513,caution,,,
62,2.067,True,0.767,0.845,0.033,28.966,False,0.78,0.198,0.512,caution,,,
63,2.1,True,0.743,0.821,0.04,32.88,False,0.761,0.181,0.494,caution,,,
64,2.133,True,0.637,0.796,0.033,36.12,False,0.762,0.175,0.466,caution,,,
65,2.167,True,0.528,0.802,0.053,35.435,False,0.811,0.186,0.458,caution,,,
66,2.2,True,0.484,0.785,0.057,35.415,False,0.858,0.174,0.449,caution,,,
67,2.233,True,0.467,0.731,0.088,39.011,False,0.884,0.161,0.437,caution,,,
68,2.267,True,0.387,0.634,0.106,40.536,False,0.878,0.129,0.392,caution,,,
69,2.3,True,0.287,0.525,0.132,41.752,False,0.795,0.102,0.331,caution,,,
70,2.333,True,0.24,0.447,0.17,43.508,False,0.707,0.077,0.287,caution,,,
71,2.367,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
72,2.4,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
73,2.433,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
74,2.467,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
75,2.5,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
76,2.533,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
77,2.567,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
78,2.6,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
79,2.633,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
80,2.667,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
81,2.7,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
82,2.733,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
83,2.767,True,0.306,0.552,0.103,34.337,False,0.634,0.156,0.332,caution,,,
