frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.874,0.571,29.999,False,0.609,0.477,0.49,acceptable,,,
7,0.233,False,0.0,0.877,0.458,22.039,False,0.669,0.427,0.471,acceptable,,,
8,0.267,False,0.0,0.874,0.377,20.351,False,0.699,0.353,0.441,acceptable,,,
9,0.3,False,0.005,0.84,0.338,20.461,False,0.738,0.298,0.418,acceptable,,,
10,0.333,False,0.04,0.785,0.383,24.979,False,0.773,0.261,0.411,acceptable,,,
11,0.367,False,0.067,0.756,0.461,28.856,False,0.798,0.228,0.41,acceptable,,,
12,0.4,False,0.092,0.722,0.539,31.599,False,0.81,0.207,0.411,acceptable,,,
13,0.433,False,0.086,0.69,0.433,32.952,False,0.797,0.19,0.384,acceptable,,,
14,0.467,False,0.043,0.709,0.453,43.026,False,0.776,0.176,0.374,acceptable,,,
15,0.5,True,0.021,0.72,0.476,50.913,False,0.766,0.176,0.373,caution,,,
16,0.533,True,0.011,0.702,0.488,53.872,True,0.753,0.226,0.383,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
17,0.567,True,0.005,0.691,0.477,42.598,False,0.726,0.3,0.401,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
18,0.6,True,0.003,0.699,0.251,11.734,False,0.711,0.393,0.41,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
19,0.633,True,0.001,0.757,0.125,5.618,False,0.707,0.414,0.415,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
20,0.667,True,0.001,0.806,0.088,13.496,False,0.696,0.399,0.414,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
21,0.7,True,0.0,0.844,0.104,18.406,False,0.667,0.356,0.404,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
22,0.733,True,0.0,0.788,0.052,,False,0.639,0.291,0.36,caution,,,
23,0.767,True,0.072,0.679,0.026,,False,0.639,0.289,0.35,caution,,,
24,0.8,True,0.139,0.609,0.013,,False,0.639,0.301,0.352,caution,,,
25,0.833,True,0.199,0.676,0.006,,False,0.681,0.304,0.384,caution,,,
26,0.867,True,0.29,0.79,0.003,,False,0.723,0.291,0.427,caution,,,
27,0.9,True,0.383,0.846,0.136,28.836,False,0.741,0.276,0.467,caution,,,
28,0.933,True,0.435,0.876,0.205,29.143,False,0.75,0.274,0.491,caution,,,
29,0.967,True,0.453,0.886,0.234,28.374,False,0.749,0.3,0.508,caution,,,
30,1.0,True,0.45,0.905,0.254,29.256,False,0.753,0.335,0.527,caution,,,
31,1.033,True,0.439,0.908,0.23,24.462,False,0.752,0.374,0.536,caution,,,
32,1.067,True,0.421,0.873,0.198,21.565,False,0.74,0.433,0.541,caution,,,
33,1.1,True,0.401,0.842,0.128,14.011,False,0.725,0.459,0.531,caution,,,
34,1.133,True,0.381,0.789,0.064,9.72,False,0.719,0.466,0.511,caution,,,
35,1.167,True,0.365,0.756,0.032,9.16,False,0.728,0.453,0.495,caution,,,
36,1.2,True,0.354,0.74,0.016,3.224,False,0.732,0.441,0.485,caution,,,
37,1.233,True,0.353,0.73,0.008,3.04,False,0.734,0.442,0.482,caution,,,
38,1.267,True,0.367,0.703,0.004,3.5,False,0.727,0.451,0.481,caution,,,
39,1.3,True,0.376,0.682,0.002,4.786,False,0.726,0.46,0.482,caution,,,
40,1.333,True,0.383,0.662,0.001,5.831,False,0.731,0.462,0.48,caution,,,
41,1.367,True,0.389,0.641,0.0,7.404,False,0.735,0.456,0.476,caution,,,
42,1.4,True,0.394,0.623,0.0,6.716,False,0.737,0.451,0.472,caution,,,
43,1.433,True,0.397,0.613,0.0,7.265,False,0.74,0.447,0.469,caution,,,
44,1.467,True,0.398,0.607,0.0,6.694,False,0.742,0.444,0.468,caution,,,
45,1.5,True,0.4,0.598,0.057,11.858,False,0.749,0.435,0.47,caution,,,
46,1.533,True,0.401,0.591,0.077,11.399,False,0.754,0.427,0.469,caution,,,
47,1.567,True,0.397,0.586,0.102,12.171,False,0.755,0.421,0.467,caution,,,
48,1.6,True,0.379,0.591,0.195,19.302,False,0.748,0.415,0.471,caution,,,
49,1.633,True,0.355,0.606,0.24,17.031,False,0.725,0.433,0.476,caution,,,
50,1.667,True,0.32,0.62,0.17,13.472,False,0.712,0.45,0.469,caution,,,
51,1.7,True,0.306,0.623,0.162,15.406,False,0.713,0.435,0.461,caution,,,
52,1.733,True,0.304,0.611,0.134,12.304,False,0.718,0.422,0.452,caution,,,
53,1.767,True,0.292,0.654,0.119,13.66,False,0.731,0.386,0.446,caution,,,
54,1.8,True,0.287,0.736,0.297,26.611,False,0.735,0.343,0.465,caution,,,
55,1.833,True,0.273,0.8,0.399,27.526,False,0.735,0.359,0.49,caution,,,
56,1.867,True,0.27,0.826,0.233,5.657,False,0.738,0.357,0.478,caution,,,
57,1.9,True,0.268,0.835,0.226,8.535,False,0.74,0.333,0.471,caution,,,
58,1.933,True,0.343,0.833,0.227,17.974,False,0.741,0.287,0.469,caution,,,
59,1.967,True,0.437,0.826,0.344,26.138,False,0.737,0.238,0.481,caution,,,
60,2.0,True,0.429,0.814,0.493,32.448,False,0.726,0.226,0.486,caution,,,
61,2.033,True,0.333,0.815,0.524,29.471,False,0.753,0.224,0.473,caution,,,
62,2.067,True,0.203,0.789,0.496,26.363,False,0.794,0.206,0.439,caution,,,
63,2.1,True,0.101,0.775,0.425,22.404,False,0.851,0.173,0.406,caution,,,
