frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,1.0,0.0,-9.527,False,0.518,0.341,0.397,acceptable,,,
1,0.033,False,0.0,1.0,0.035,-12.018,False,0.505,0.32,0.391,acceptable,,,
2,0.067,False,0.0,1.0,0.089,-14.75,False,0.506,0.31,0.393,acceptable,,,
3,0.1,False,0.0,1.0,0.145,-17.016,False,0.513,0.295,0.395,acceptable,,,
4,0.133,False,0.0,1.0,0.22,-20.307,False,0.53,0.296,0.405,acceptable,,,
5,0.167,False,0.0,0.982,0.365,-8.521,False,0.544,0.279,0.412,acceptable,,,
6,0.2,False,0.0,0.988,0.299,-15.993,False,0.629,0.27,0.416,acceptable,,,
7,0.233,False,0.0,0.994,0.218,-12.36,False,0.699,0.254,0.414,acceptable,,,
8,0.267,False,0.0,0.997,0.146,-11.497,False,0.742,0.26,0.416,acceptable,,,
9,0.3,True,0.0,0.998,0.123,-11.29,False,0.768,0.282,0.426,caution,,,
10,0.333,True,0.0,0.999,0.118,-11.515,False,0.778,0.263,0.42,caution,,,
11,0.367,True,0.0,1.0,0.115,-12.696,False,0.787,0.241,0.414,caution,,,
12,0.4,True,0.0,0.996,0.064,-10.496,False,0.792,0.249,0.412,caution,,,
13,0.433,True,0.0,0.982,0.034,-9.693,False,0.782,0.29,0.418,caution,,,
14,0.467,True,0.0,0.975,0.017,-6.412,False,0.778,0.328,0.428,caution,,,
15,0.5,True,0.0,0.937,0.008,-5.395,False,0.783,0.331,0.422,caution,,,
16,0.533,True,0.0,0.909,0.004,-7.383,False,0.79,0.317,0.412,caution,,,
17,0.567,True,0.0,0.877,0.002,-4.978,False,0.8,0.286,0.396,caution,,,
18,0.6,True,0.0,0.849,0.001,0.367,False,0.803,0.256,0.38,caution,,,
19,0.633,True,0.0,0.819,0.001,-0.502,False,0.825,0.258,0.378,caution,,,
20,0.667,True,0.0,0.793,0.0,-1.518,False,0.837,0.239,0.368,caution,,,
21,0.7,True,0.0,0.782,0.0,-1.494,False,0.848,0.208,0.356,caution,,,
22,0.733,True,0.0,0.794,0.0,-1.664,False,0.848,0.206,0.358,caution,,,
23,0.767,True,0.0,0.814,0.0,0.73,False,0.839,0.207,0.361,caution,,,
24,0.8,True,0.0,0.834,0.0,2.067,False,0.837,0.22,0.369,caution,,,
25,0.833,True,0.0,0.845,0.0,1.724,False,0.842,0.248,0.382,caution,,,
26,0.867,True,0.0,0.871,0.0,1.362,False,0.846,0.268,0.395,caution,,,
27,0.9,True,0.0,0.896,0.0,1.385,False,0.85,0.276,0.403,caution,,,
28,0.933,True,0.0,0.908,0.0,2.07,False,0.849,0.275,0.405,caution,,,
29,0.967,True,0.078,0.928,0.011,1.741,False,0.823,0.286,0.426,caution,,,
30,1.0,True,0.322,0.935,0.142,-2.077,False,0.812,0.276,0.484,caution,,,
31,1.033,True,0.461,0.933,0.248,-4.757,False,0.828,0.278,0.525,caution,,,
32,1.067,True,0.5,0.906,0.31,-6.573,False,0.837,0.295,0.541,caution,,,
33,1.1,True,0.595,0.885,0.344,-1.48,False,0.803,0.276,0.547,caution,,,
34,1.133,True,0.68,0.875,0.378,0.565,False,0.776,0.289,0.566,risky,Ankle sprain (ATFL tear) | Hip instability | Patellar tendon overload,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The knee is too straight during landing or a lunge, increasing mechanical leverage and strain on the patellar tendon and meniscus.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Keep the knee flexed and aligned over the toe during loading; avoid hyper-extending the knee.
35,1.167,True,0.741,0.87,0.389,0.424,False,0.763,0.29,0.577,risky,Ankle sprain (ATFL tear) | Hip instability | Patellar tendon overload,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The knee is too straight during landing or a lunge, increasing mechanical leverage and strain on the patellar tendon and meniscus.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Keep the knee flexed and aligned over the toe during loading; avoid hyper-extending the knee.
