frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
10,0.333,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
11,0.367,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
12,0.4,False,0.122,0.828,0.359,22.555,False,0.731,0.21,0.409,acceptable,,,
13,0.433,False,0.121,0.83,0.352,22.063,False,0.727,0.216,0.41,acceptable,,,
14,0.467,False,0.118,0.827,0.351,22.29,False,0.727,0.214,0.408,acceptable,,,
15,0.5,False,0.12,0.808,0.378,24.174,False,0.728,0.208,0.405,acceptable,,,
16,0.533,False,0.129,0.755,0.421,26.239,False,0.733,0.178,0.391,acceptable,,,
17,0.567,False,0.172,0.686,0.553,33.991,False,0.748,0.108,0.377,acceptable,,,
18,0.6,False,0.199,0.659,0.426,30.966,False,0.771,0.085,0.359,acceptable,,,
19,0.633,False,0.211,0.689,0.368,31.61,False,0.762,0.106,0.368,acceptable,,,
20,0.667,False,0.179,0.713,0.314,28.223,False,0.74,0.174,0.382,acceptable,,,
21,0.7,True,0.155,0.723,0.306,30.932,False,0.728,0.235,0.398,caution,,,
22,0.733,True,0.127,0.721,0.361,39.034,False,0.695,0.286,0.41,caution,,,
23,0.767,True,0.064,0.667,0.356,34.631,False,0.662,0.262,0.373,caution,,,
24,0.8,True,0.032,0.728,0.305,27.703,False,0.627,0.211,0.35,caution,,,
25,0.833,True,0.016,0.779,0.152,,False,0.603,0.164,0.322,caution,,,
26,0.867,True,0.008,0.814,0.076,,False,0.583,0.156,0.314,caution,,,
27,0.9,True,0.004,0.792,0.038,,False,0.59,0.169,0.311,caution,,,
28,0.933,True,0.004,0.738,0.019,,False,0.639,0.199,0.316,caution,,,
29,0.967,True,0.031,0.738,0.01,,False,0.666,0.224,0.333,caution,,,
30,1.0,True,0.052,0.833,0.005,,False,0.734,0.229,0.368,caution,,,
31,1.033,True,0.1,0.917,0.002,,False,0.787,0.226,0.401,caution,,,
32,1.067,True,0.126,0.958,0.14,29.463,False,0.8,0.232,0.432,caution,,,
33,1.1,True,0.148,0.979,0.215,30.24,False,0.806,0.246,0.454,caution,,,
34,1.133,True,0.178,0.99,0.252,30.257,False,0.81,0.274,0.476,caution,,,
35,1.167,True,0.234,0.995,0.263,29.149,False,0.819,0.303,0.501,caution,,,
36,1.2,True,0.275,0.997,0.264,28.608,False,0.826,0.333,0.521,caution,,,
37,1.233,True,0.312,0.999,0.257,27.428,False,0.828,0.363,0.539,caution,,,
38,1.267,True,0.325,0.993,0.211,21.528,False,0.82,0.396,0.546,caution,,,
39,1.3,True,0.318,0.946,0.159,17.455,False,0.8,0.446,0.545,caution,,,
40,1.333,True,0.319,0.911,0.121,15.866,False,0.778,0.47,0.539,caution,,,
41,1.367,True,0.319,0.858,0.084,13.335,False,0.75,0.512,0.536,caution,,,
42,1.4,True,0.311,0.819,0.107,19.018,False,0.738,0.517,0.528,caution,,,
43,1.433,True,0.309,0.798,0.14,22.073,False,0.739,0.478,0.514,caution,,,
44,1.467,True,0.319,0.78,0.101,14.419,False,0.747,0.447,0.499,caution,,,
45,1.5,True,0.34,0.741,0.051,7.962,False,0.769,0.43,0.487,caution,,,
46,1.533,True,0.356,0.718,0.025,6.235,False,0.791,0.419,0.483,caution,,,
47,1.567,True,0.367,0.702,0.013,5.734,False,0.795,0.423,0.482,caution,,,
48,1.6,True,0.375,0.689,0.006,5.187,False,0.793,0.43,0.483,caution,,,
49,1.633,True,0.371,0.681,0.003,3.248,False,0.779,0.435,0.48,caution,,,
50,1.667,True,0.368,0.668,0.002,2.957,False,0.768,0.444,0.478,caution,,,
51,1.7,True,0.367,0.649,0.001,1.789,False,0.76,0.448,0.474,caution,,,
52,1.733,True,0.352,0.633,0.03,6.94,False,0.748,0.451,0.47,caution,,,
53,1.767,True,0.332,0.63,0.142,13.503,False,0.733,0.452,0.475,caution,,,
54,1.8,True,0.28,0.616,0.104,4.372,False,0.723,0.457,0.458,caution,,,
55,1.833,True,0.222,0.605,0.052,-1.993,False,0.719,0.458,0.439,caution,,,
56,1.867,True,0.179,0.619,0.026,1.812,False,0.721,0.462,0.432,caution,,,
57,1.9,True,0.159,0.643,0.025,6.99,False,0.728,0.452,0.431,caution,,,
58,1.933,True,0.161,0.653,0.083,12.311,False,0.742,0.416,0.428,caution,,,
59,1.967,True,0.164,0.702,0.127,12.739,False,0.758,0.369,0.429,caution,,,
60,2.0,True,0.166,0.74,0.25,19.713,False,0.768,0.372,0.452,caution,,,
61,2.033,True,0.175,0.743,0.215,13.251,False,0.778,0.409,0.465,caution,,,
62,2.067,True,0.186,0.734,0.107,5.468,False,0.787,0.422,0.46,caution,,,
63,2.1,True,0.198,0.723,0.1,10.777,False,0.794,0.44,0.467,caution,,,
64,2.133,True,0.164,0.718,0.174,17.87,False,0.801,0.427,0.463,caution,,,
65,2.167,True,0.082,0.71,0.168,11.19,False,0.835,0.373,0.431,caution,,,
66,2.2,True,0.041,0.701,0.181,13.317,False,0.866,0.317,0.407,caution,,,
67,2.233,True,0.02,0.647,0.196,12.274,False,0.9,0.228,0.368,caution,,,
68,2.267,True,0.01,0.568,0.218,11.776,False,0.95,0.183,0.344,caution,,,
69,2.3,True,0.005,0.527,0.245,14.118,False,0.963,0.163,0.332,caution,,,
70,2.333,True,0.003,0.493,0.202,11.217,False,0.957,0.137,0.311,caution,,,
71,2.367,True,0.064,0.534,0.226,18.066,False,0.865,0.138,0.32,caution,,,
72,2.4,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
73,2.433,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
74,2.467,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
75,2.5,True,0.032,0.666,0.268,20.854,False,0.751,0.102,0.315,caution,,,
76,2.533,True,0.016,0.734,0.274,19.638,False,0.729,0.071,0.311,caution,,,
77,2.567,True,0.008,0.769,0.281,20.113,False,0.723,0.066,0.315,caution,,,
78,2.6,True,0.142,0.794,0.277,19.515,False,0.73,0.162,0.381,caution,,,
79,2.633,True,0.219,0.792,0.338,23.981,False,0.694,0.226,0.419,caution,,,
80,2.667,True,0.251,0.808,0.384,25.055,False,0.658,0.268,0.443,caution,,,
81,2.7,True,0.26,0.815,0.35,21.069,False,0.661,0.303,0.455,caution,,,
82,2.733,True,0.249,0.825,0.351,22.336,False,0.68,0.325,0.466,caution,,,
83,2.767,True,0.23,0.804,0.355,22.552,False,0.71,0.325,0.463,caution,,,
