frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
10,0.333,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
11,0.367,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
12,0.4,False,0.024,0.854,0.571,29.987,False,0.652,0.392,0.468,acceptable,,,
13,0.433,False,0.029,0.795,0.572,30.026,False,0.679,0.359,0.45,acceptable,,,
14,0.467,False,0.045,0.731,0.58,30.595,False,0.707,0.32,0.431,acceptable,,,
15,0.5,False,0.064,0.653,0.599,31.641,False,0.738,0.248,0.401,acceptable,,,
16,0.533,False,0.071,0.663,0.619,32.384,False,0.756,0.197,0.391,acceptable,,,
17,0.567,False,0.042,0.682,0.406,23.55,False,0.747,0.173,0.358,acceptable,,,
18,0.6,False,0.021,0.683,0.203,3.406,False,0.713,0.188,0.334,acceptable,,,
19,0.633,False,0.01,0.69,0.15,16.717,False,0.649,0.252,0.341,acceptable,,,
20,0.667,False,0.005,0.719,0.212,29.234,False,0.593,0.287,0.355,acceptable,,,
21,0.7,True,0.003,0.757,0.263,31.918,False,0.577,0.319,0.376,caution,,,
22,0.733,True,0.001,0.801,0.281,30.901,False,0.57,0.309,0.382,caution,,,
23,0.767,True,0.001,0.833,0.279,29.451,False,0.565,0.241,0.364,caution,,,
24,0.8,True,0.0,0.81,0.14,,False,0.583,0.205,0.335,caution,,,
25,0.833,True,0.008,0.754,0.07,,False,0.656,0.239,0.341,caution,,,
26,0.867,True,0.091,0.827,0.035,,False,0.718,0.265,0.388,caution,,,
27,0.9,True,0.177,0.913,0.017,,False,0.753,0.269,0.427,caution,,,
28,0.933,True,0.237,0.941,0.009,,False,0.75,0.272,0.444,caution,,,
29,0.967,True,0.29,0.954,0.147,29.94,False,0.755,0.273,0.472,caution,,,
30,1.0,True,0.347,0.968,0.215,29.857,False,0.766,0.275,0.496,caution,,,
31,1.033,True,0.39,0.984,0.235,27.847,False,0.779,0.287,0.516,caution,,,
32,1.067,True,0.42,0.992,0.202,21.792,False,0.806,0.309,0.532,caution,,,
33,1.1,True,0.414,0.996,0.175,20.415,False,0.83,0.321,0.536,caution,,,
34,1.133,True,0.406,0.998,0.178,22.701,False,0.831,0.36,0.549,caution,,,
35,1.167,True,0.385,0.95,0.171,21.515,False,0.809,0.413,0.55,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
36,1.2,True,0.361,0.911,0.086,,False,0.781,0.432,0.531,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
37,1.233,True,0.353,0.86,0.043,,False,0.758,0.443,0.516,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
38,1.267,True,0.367,0.805,0.021,,False,0.777,0.433,0.505,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
39,1.3,True,0.379,0.772,0.011,,False,0.8,0.425,0.5,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
40,1.333,True,0.382,0.763,0.005,,False,0.819,0.412,0.497,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
41,1.367,True,0.389,0.748,0.003,,False,0.821,0.405,0.493,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
42,1.4,True,0.392,0.733,0.001,,False,0.821,0.398,0.488,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
43,1.433,True,0.393,0.721,0.001,,False,0.818,0.392,0.483,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
44,1.467,True,0.397,0.707,0.0,,False,0.809,0.391,0.479,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
45,1.5,True,0.392,0.696,0.0,,False,0.796,0.393,0.475,risky,Hip instability | Ankle sprain (ATFL tear),"The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments.",Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Land with the foot pointing along the direction of movement and keep the knee centered over the foot.
