frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.051,0.784,0.394,23.791,False,0.755,0.483,0.489,acceptable,,,
10,0.333,False,0.049,0.782,0.358,21.291,False,0.759,0.47,0.48,acceptable,,,
11,0.367,False,0.047,0.776,0.334,20.868,False,0.763,0.453,0.471,acceptable,,,
12,0.4,False,0.087,0.732,0.314,20.308,False,0.78,0.42,0.459,acceptable,,,
13,0.433,False,0.131,0.694,0.302,20.16,False,0.796,0.382,0.448,acceptable,,,
14,0.467,False,0.166,0.652,0.198,16.532,False,0.784,0.344,0.421,acceptable,,,
15,0.5,False,0.186,0.599,0.139,15.541,False,0.767,0.307,0.393,acceptable,,,
16,0.533,False,0.194,0.554,0.085,12.27,False,0.764,0.291,0.375,acceptable,,,
17,0.567,False,0.19,0.554,0.043,8.511,False,0.785,0.262,0.362,acceptable,,,
18,0.6,True,0.205,0.574,0.021,9.506,False,0.803,0.244,0.364,caution,,,
19,0.633,True,0.203,0.614,0.034,13.242,False,0.817,0.229,0.369,caution,,,
20,0.667,True,0.127,0.66,0.063,16.451,False,0.821,0.249,0.374,caution,,,
21,0.7,True,0.077,0.697,0.071,15.542,False,0.822,0.288,0.386,caution,,,
22,0.733,True,0.038,0.692,0.036,7.651,False,0.812,0.351,0.394,caution,,,
23,0.767,True,0.019,0.749,0.042,13.439,False,0.774,0.413,0.419,caution,,,
24,0.8,True,0.01,0.835,0.086,19.056,False,0.689,0.414,0.426,caution,,,
25,0.833,True,0.005,0.911,0.043,,False,0.618,0.313,0.39,caution,,,
26,0.867,True,0.002,0.955,0.021,,False,0.573,0.236,0.362,caution,,,
27,0.9,True,0.001,0.871,0.011,,False,0.598,0.227,0.345,caution,,,
28,0.933,True,0.066,0.859,0.005,,False,0.681,0.261,0.379,caution,,,
29,0.967,True,0.15,0.93,0.003,,False,0.749,0.261,0.42,caution,,,
30,1.0,True,0.208,0.965,0.147,30.415,False,0.786,0.252,0.455,caution,,,
31,1.033,True,0.263,0.982,0.223,30.941,False,0.803,0.244,0.477,caution,,,
32,1.067,True,0.298,0.991,0.251,29.46,False,0.818,0.251,0.494,caution,,,
33,1.1,True,0.341,0.996,0.252,27.779,False,0.871,0.252,0.512,caution,,,
34,1.133,True,0.354,0.998,0.222,23.43,False,0.9,0.248,0.514,caution,,,
35,1.167,True,0.404,0.999,0.193,21.495,False,0.894,0.24,0.518,caution,,,
36,1.2,True,0.357,0.999,0.2,24.412,False,0.868,0.266,0.515,caution,,,
37,1.233,True,0.319,0.961,0.196,23.54,False,0.821,0.323,0.512,caution,,,
38,1.267,True,0.288,0.905,0.193,23.284,False,0.788,0.353,0.5,caution,,,
39,1.3,True,0.26,0.871,0.203,24.838,False,0.771,0.359,0.488,caution,,,
40,1.333,True,0.236,0.839,0.193,22.833,False,0.759,0.367,0.477,caution,,,
41,1.367,True,0.273,0.799,0.114,12.495,False,0.739,0.41,0.48,caution,,,
42,1.4,True,0.299,0.772,0.062,10.705,False,0.734,0.433,0.482,caution,,,
43,1.433,True,0.311,0.751,0.031,8.708,False,0.744,0.443,0.482,caution,,,
44,1.467,True,0.317,0.728,0.016,7.225,False,0.754,0.453,0.482,caution,,,
45,1.5,True,0.323,0.707,0.008,4.728,False,0.756,0.463,0.482,caution,,,
46,1.533,True,0.324,0.692,0.004,7.045,False,0.753,0.469,0.481,caution,,,
47,1.567,True,0.32,0.689,0.002,7.513,False,0.752,0.475,0.481,caution,,,
48,1.6,True,0.32,0.687,0.001,9.986,False,0.751,0.48,0.482,caution,,,
49,1.633,True,0.323,0.681,0.016,9.875,False,0.768,0.464,0.48,caution,,,
50,1.667,True,0.321,0.673,0.008,4.043,False,0.784,0.44,0.471,caution,,,
51,1.7,True,0.318,0.668,0.004,3.07,False,0.793,0.424,0.465,caution,,,
52,1.733,True,0.318,0.674,0.009,7.351,False,0.782,0.421,0.464,caution,,,
53,1.767,True,0.307,0.707,0.106,17.098,False,0.745,0.472,0.491,caution,,,
54,1.8,True,0.295,0.737,0.16,17.462,False,0.734,0.503,0.508,caution,,,
55,1.833,True,0.227,0.778,0.118,12.689,False,0.742,0.463,0.486,caution,,,
56,1.867,True,0.159,0.825,0.1,12.194,False,0.752,0.396,0.458,caution,,,
57,1.9,True,0.112,0.888,0.08,12.113,False,0.764,0.325,0.436,caution,,,
58,1.933,True,0.106,0.923,0.18,19.788,False,0.775,0.294,0.443,caution,,,
59,1.967,True,0.132,0.923,0.287,23.821,False,0.793,0.308,0.467,caution,,,
60,2.0,True,0.2,0.913,0.247,17.199,False,0.807,0.283,0.467,caution,,,
61,2.033,True,0.348,0.897,0.27,20.26,False,0.812,0.24,0.482,caution,,,
62,2.067,True,0.541,0.881,0.409,29.181,False,0.809,0.242,0.531,caution,,,
63,2.1,True,0.521,0.87,0.533,32.963,False,0.805,0.208,0.525,caution,,,
64,2.133,True,0.295,0.817,0.574,31.524,False,0.822,0.207,0.475,caution,,,
65,2.167,True,0.147,0.764,0.474,23.097,False,0.853,0.201,0.428,caution,,,
66,2.2,True,0.074,0.661,0.288,11.787,False,0.852,0.216,0.379,caution,,,
67,2.233,True,0.037,0.576,0.252,8.509,False,0.824,0.161,0.328,caution,,,
68,2.267,True,0.018,0.528,0.308,22.346,False,0.781,0.129,0.302,caution,,,
69,2.3,True,0.062,0.5,0.349,22.177,False,0.748,0.14,0.309,caution,,,
70,2.333,True,0.144,0.512,0.482,31.503,False,0.696,0.149,0.336,caution,,,
71,2.367,True,0.118,0.552,0.58,33.723,False,0.655,0.138,0.339,caution,,,
72,2.4,True,0.059,0.674,0.62,33.101,False,0.625,0.154,0.356,caution,,,
73,2.433,True,0.048,0.789,0.67,35.198,False,0.623,0.203,0.399,caution,,,
74,2.467,True,0.05,0.859,0.55,25.08,False,0.625,0.246,0.417,caution,,,
75,2.5,True,0.054,0.877,0.636,35.227,False,0.626,0.289,0.445,caution,,,
76,2.533,True,0.107,0.846,0.588,28.886,False,0.61,0.333,0.458,caution,,,
77,2.567,True,0.137,0.802,0.571,29.429,False,0.596,0.358,0.46,caution,,,
78,2.6,True,0.181,0.756,0.575,30.281,False,0.596,0.377,0.466,caution,,,
79,2.633,True,0.204,0.713,0.616,33.004,False,0.607,0.381,0.469,caution,,,
80,2.667,True,0.208,0.643,0.702,37.576,False,0.641,0.349,0.459,caution,,,
81,2.7,True,0.277,0.648,0.739,38.434,False,0.682,0.288,0.462,caution,,,
