frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.107,0.775,0.496,27.366,False,0.677,0.452,0.486,acceptable,,,
10,0.333,False,0.103,0.751,0.498,27.494,False,0.698,0.419,0.472,acceptable,,,
11,0.367,False,0.1,0.723,0.501,27.619,False,0.722,0.37,0.453,acceptable,,,
12,0.4,False,0.124,0.67,0.444,23.56,False,0.768,0.27,0.413,acceptable,,,
13,0.433,False,0.195,0.595,0.443,25.494,False,0.799,0.168,0.381,acceptable,,,
14,0.467,False,0.284,0.552,0.492,28.919,False,0.818,0.109,0.377,acceptable,,,
15,0.5,False,0.375,0.572,0.339,23.031,False,0.834,0.084,0.378,acceptable,,,
16,0.533,False,0.416,0.615,0.258,22.368,False,0.847,0.088,0.39,acceptable,,,
17,0.567,False,0.365,0.648,0.246,26.427,False,0.855,0.103,0.392,acceptable,,,
18,0.6,True,0.207,0.668,0.328,38.707,False,0.85,0.14,0.384,caution,,,
19,0.633,True,0.12,0.705,0.349,35.934,False,0.834,0.204,0.396,caution,,,
20,0.667,True,0.061,0.744,0.29,26.176,False,0.822,0.253,0.402,caution,,,
21,0.7,True,0.031,0.782,0.167,13.121,False,0.785,0.303,0.403,caution,,,
22,0.733,True,0.015,0.822,0.084,6.666,False,0.721,0.348,0.406,caution,,,
23,0.767,True,0.008,0.867,0.153,25.544,False,0.657,0.347,0.41,caution,,,
24,0.8,True,0.004,0.905,0.076,,False,0.618,0.281,0.38,caution,,,
25,0.833,True,0.013,0.837,0.038,,False,0.626,0.289,0.369,caution,,,
26,0.867,True,0.105,0.745,0.019,,False,0.65,0.321,0.382,caution,,,
27,0.9,True,0.213,0.798,0.147,29.204,False,0.68,0.323,0.432,caution,,,
28,0.933,True,0.348,0.88,0.203,28.1,False,0.714,0.303,0.479,caution,,,
29,0.967,True,0.446,0.924,0.227,27.625,False,0.731,0.288,0.507,caution,,,
30,1.0,True,0.524,0.957,0.224,25.417,False,0.75,0.277,0.528,caution,,,
31,1.033,True,0.551,0.978,0.204,22.928,False,0.767,0.285,0.541,caution,,,
32,1.067,True,0.553,0.989,0.175,20.232,False,0.783,0.289,0.544,caution,,,
33,1.1,True,0.45,0.973,0.137,16.962,False,0.787,0.312,0.525,caution,,,
34,1.133,True,0.346,0.905,0.114,16.412,False,0.771,0.347,0.499,caution,,,
35,1.167,True,0.316,0.837,0.057,,False,0.755,0.398,0.489,caution,,,
36,1.2,True,0.313,0.725,0.029,,False,0.754,0.414,0.468,caution,,,
37,1.233,True,0.32,0.668,0.014,,False,0.761,0.414,0.458,caution,,,
38,1.267,True,0.316,0.627,0.007,,False,0.783,0.394,0.445,caution,,,
39,1.3,True,0.349,0.598,0.004,,False,0.801,0.377,0.442,caution,,,
40,1.333,True,0.372,0.611,0.002,,False,0.808,0.365,0.446,caution,,,
41,1.367,True,0.385,0.612,0.001,,False,0.802,0.364,0.447,caution,,,
42,1.4,True,0.397,0.621,0.0,,False,0.787,0.372,0.452,caution,,,
43,1.433,True,0.402,0.63,0.0,,False,0.774,0.384,0.457,caution,,,
44,1.467,True,0.403,0.636,0.0,,False,0.763,0.395,0.461,caution,,,
45,1.5,True,0.4,0.643,0.0,,False,0.754,0.404,0.463,caution,,,
46,1.533,True,0.395,0.649,0.118,14.712,False,0.749,0.408,0.476,caution,,,
47,1.567,True,0.379,0.674,0.289,24.271,False,0.726,0.452,0.507,caution,,,
48,1.6,True,0.351,0.697,0.326,21.692,False,0.724,0.469,0.515,caution,,,
49,1.633,True,0.316,0.715,0.346,20.352,False,0.726,0.462,0.511,caution,,,
50,1.667,True,0.282,0.737,0.359,21.341,False,0.733,0.43,0.5,caution,,,
51,1.7,True,0.266,0.775,0.376,23.25,False,0.744,0.376,0.489,caution,,,
52,1.733,True,0.248,0.795,0.327,19.542,False,0.761,0.389,0.492,caution,,,
53,1.767,True,0.24,0.788,0.377,23.244,False,0.774,0.377,0.491,caution,,,
54,1.8,True,0.237,0.771,0.42,22.012,False,0.78,0.368,0.489,caution,,,
55,1.833,True,0.25,0.754,0.291,10.886,False,0.773,0.339,0.465,caution,,,
56,1.867,True,0.311,0.742,0.253,12.359,False,0.761,0.284,0.449,caution,,,
57,1.9,True,0.265,0.735,0.159,7.537,False,0.755,0.259,0.42,caution,,,
58,1.933,True,0.215,0.701,0.079,2.923,False,0.753,0.222,0.382,caution,,,
59,1.967,True,0.182,0.637,0.069,9.303,False,0.772,0.208,0.359,caution,,,
60,2.0,True,0.176,0.582,0.093,12.329,False,0.802,0.188,0.347,caution,,,
61,2.033,True,0.099,0.512,0.14,15.052,False,0.819,0.145,0.31,caution,,,
62,2.067,True,0.082,0.455,0.184,17.981,False,0.81,0.111,0.286,acceptable,,,
63,2.1,True,0.158,0.481,0.211,12.962,False,0.783,0.076,0.293,acceptable,,,
64,2.133,True,0.298,0.558,0.269,19.262,False,0.738,0.088,0.339,acceptable,,,
65,2.167,True,0.358,0.623,0.348,24.969,False,0.709,0.1,0.372,caution,,,
66,2.2,True,0.288,0.641,0.363,23.192,False,0.719,0.093,0.363,caution,,,
67,2.233,True,0.239,0.67,0.452,28.928,False,0.729,0.096,0.37,caution,,,
68,2.267,True,0.222,0.71,0.438,24.85,False,0.729,0.122,0.382,caution,,,
69,2.3,True,0.26,0.718,0.435,25.118,False,0.688,0.153,0.396,caution,,,
70,2.333,True,0.372,0.705,0.347,18.879,False,0.605,0.183,0.405,caution,,,
71,2.367,True,0.483,0.675,0.335,21.331,False,0.604,0.214,0.431,caution,,,
72,2.4,True,0.541,0.637,0.363,23.697,False,0.61,0.246,0.449,caution,,,
73,2.433,True,0.563,0.602,0.428,27.215,False,0.594,0.27,0.459,caution,,,
74,2.467,True,0.591,0.559,0.493,29.517,False,0.584,0.274,0.463,caution,,,
75,2.5,True,0.595,0.542,0.534,30.158,False,0.581,0.275,0.464,caution,,,
76,2.533,True,0.628,0.565,0.611,34.036,False,0.585,0.248,0.474,caution,,,
77,2.567,True,0.68,0.602,0.664,35.099,False,0.591,0.25,0.499,caution,,,
78,2.6,True,0.709,0.632,0.729,38.558,False,0.598,0.262,0.522,caution,,,
79,2.633,True,0.675,0.618,0.79,39.806,False,0.601,0.257,0.518,caution,,,
80,2.667,True,0.595,0.582,0.792,37.783,False,0.599,0.217,0.48,caution,,,
81,2.7,True,0.473,0.646,0.763,35.704,False,0.604,0.187,0.456,caution,,,
82,2.733,True,0.319,0.751,0.73,34.396,False,0.61,0.164,0.436,caution,,,
83,2.767,True,0.214,0.819,0.685,32.385,False,0.597,0.153,0.418,caution,,,
84,2.8,True,0.166,0.866,0.65,31.555,False,0.605,0.145,0.413,caution,,,
