frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.279,0.507,0.684,33.953,False,0.564,0.208,0.383,acceptable,,,
9,0.3,False,0.257,0.512,0.703,35.23,False,0.558,0.201,0.378,acceptable,,,
10,0.333,False,0.246,0.516,0.723,36.039,False,0.55,0.201,0.377,acceptable,,,
11,0.367,False,0.22,0.515,0.729,35.702,False,0.542,0.205,0.373,acceptable,,,
12,0.4,False,0.192,0.495,0.661,30.739,False,0.548,0.235,0.368,acceptable,,,
13,0.433,False,0.18,0.469,0.605,29.252,False,0.616,0.324,0.396,acceptable,,,
14,0.467,False,0.192,0.453,0.569,28.61,False,0.702,0.405,0.433,acceptable,,,
15,0.5,False,0.215,0.449,0.528,27.077,False,0.757,0.444,0.455,acceptable,,,
16,0.533,False,0.233,0.449,0.497,26.273,False,0.784,0.467,0.467,acceptable,,,
17,0.567,False,0.252,0.455,0.471,25.569,False,0.791,0.48,0.475,acceptable,,,
18,0.6,True,0.266,0.467,0.425,23.255,False,0.789,0.49,0.479,caution,,,
19,0.633,True,0.266,0.494,0.297,15.194,False,0.776,0.501,0.474,caution,,,
20,0.667,True,0.26,0.545,0.282,18.106,False,0.746,0.513,0.481,caution,,,
21,0.7,True,0.251,0.586,0.272,18.914,False,0.668,0.521,0.477,caution,,,
22,0.733,True,0.202,0.652,0.33,23.567,False,0.614,0.453,0.454,caution,,,
23,0.767,True,0.22,0.701,0.413,27.38,False,0.659,0.333,0.441,caution,,,
24,0.8,True,0.258,0.694,0.463,27.942,False,0.717,0.285,0.444,caution,,,
25,0.833,True,0.322,0.64,0.517,29.983,False,0.757,0.237,0.44,caution,,,
26,0.867,True,0.364,0.574,0.372,25.919,False,0.755,0.15,0.391,caution,,,
27,0.9,True,0.379,0.574,0.301,26.078,False,0.752,0.082,0.362,caution,,,
28,0.933,True,0.38,0.616,0.274,27.351,False,0.769,0.057,0.362,caution,,,
29,0.967,True,0.38,0.668,0.274,29.082,False,0.791,0.073,0.381,caution,,,
30,1.0,True,0.346,0.688,0.305,33.561,False,0.807,0.089,0.39,caution,,,
31,1.033,True,0.241,0.671,0.3,30.697,False,0.817,0.123,0.378,caution,,,
32,1.067,True,0.148,0.685,0.3,31.045,False,0.799,0.163,0.374,caution,,,
33,1.1,True,0.074,0.734,0.397,44.604,False,0.766,0.175,0.377,caution,,,
34,1.133,True,0.037,0.784,0.358,32.326,False,0.728,0.203,0.38,caution,,,
35,1.167,True,0.018,0.816,0.323,30.109,False,0.7,0.19,0.37,caution,,,
36,1.2,True,0.035,0.711,0.161,,False,0.701,0.197,0.34,caution,,,
37,1.233,True,0.069,0.738,0.081,,False,0.716,0.203,0.348,caution,,,
38,1.267,True,0.134,0.844,0.04,,False,0.738,0.202,0.381,caution,,,
39,1.3,True,0.223,0.916,0.02,,False,0.755,0.196,0.412,caution,,,
40,1.333,True,0.302,0.953,0.137,27.789,False,0.769,0.185,0.445,caution,,,
41,1.367,True,0.347,0.974,0.169,24.116,False,0.774,0.189,0.463,caution,,,
42,1.4,True,0.383,0.987,0.188,24.43,False,0.778,0.212,0.484,caution,,,
43,1.433,True,0.404,0.993,0.175,21.392,False,0.786,0.257,0.505,caution,,,
44,1.467,True,0.421,0.997,0.133,16.407,False,0.79,0.279,0.513,caution,,,
45,1.5,True,0.384,0.959,0.155,22.321,False,0.797,0.306,0.511,caution,,,
46,1.533,True,0.362,0.904,0.129,17.283,False,0.811,0.327,0.502,caution,,,
47,1.567,True,0.365,0.847,0.118,17.503,False,0.834,0.338,0.498,caution,,,
48,1.6,True,0.378,0.792,0.059,7.769,False,0.824,0.347,0.485,caution,,,
49,1.633,True,0.388,0.73,0.03,6.788,False,0.812,0.365,0.476,caution,,,
50,1.667,True,0.394,0.711,0.015,7.981,False,0.803,0.382,0.477,caution,,,
51,1.7,True,0.394,0.709,0.007,8.028,False,0.793,0.394,0.478,caution,,,
52,1.733,True,0.391,0.715,0.004,7.023,False,0.778,0.406,0.48,caution,,,
53,1.767,True,0.387,0.722,0.002,8.279,False,0.77,0.418,0.484,caution,,,
54,1.8,True,0.386,0.708,0.001,9.733,False,0.76,0.413,0.478,caution,,,
55,1.833,True,0.386,0.695,0.0,9.582,False,0.755,0.404,0.471,caution,,,
56,1.867,True,0.378,0.707,0.024,13.388,False,0.732,0.426,0.478,caution,,,
57,1.9,True,0.358,0.75,0.111,23.81,False,0.74,0.458,0.504,caution,,,
58,1.933,True,0.328,0.789,0.332,29.379,False,0.775,0.483,0.542,caution,,,
59,1.967,True,0.23,0.839,0.393,25.913,False,0.823,0.456,0.536,caution,,,
60,2.0,True,0.115,0.895,0.35,20.754,False,0.867,0.383,0.501,caution,,,
61,2.033,True,0.058,0.927,0.304,19.038,False,0.878,0.318,0.47,caution,,,
62,2.067,True,0.029,0.92,0.381,26.044,False,0.886,0.261,0.452,caution,,,
63,2.1,True,0.037,0.893,0.326,19.508,False,0.894,0.279,0.45,caution,,,
64,2.133,True,0.048,0.862,0.232,12.682,False,0.889,0.285,0.438,caution,,,
65,2.167,True,0.123,0.832,0.295,22.502,False,0.869,0.284,0.45,caution,,,
66,2.2,True,0.148,0.807,0.42,29.062,False,0.852,0.255,0.45,caution,,,
67,2.233,True,0.074,0.783,0.39,22.595,False,0.862,0.219,0.416,caution,,,
68,2.267,True,0.037,0.66,0.352,20.972,False,0.839,0.206,0.373,caution,,,
69,2.3,True,0.019,0.513,0.298,18.528,False,0.814,0.158,0.314,caution,,,
70,2.333,True,0.009,0.468,0.269,18.41,False,0.782,0.113,0.279,caution,,,
71,2.367,True,0.005,0.55,0.287,20.675,False,0.691,0.089,0.274,caution,,,
72,2.4,True,0.002,0.644,0.289,20.159,False,0.633,0.107,0.29,caution,,,
73,2.433,True,0.055,0.687,0.313,21.783,False,0.66,0.159,0.334,caution,,,
74,2.467,True,0.047,0.717,0.471,32.035,False,0.727,0.151,0.362,caution,,,
75,2.5,True,0.056,0.809,0.525,30.233,False,0.804,0.164,0.403,caution,,,
76,2.533,True,0.081,0.878,0.582,33.552,False,0.846,0.202,0.447,caution,,,
77,2.567,True,0.11,0.898,0.482,23.401,False,0.853,0.241,0.462,caution,,,
78,2.6,True,0.154,0.844,0.444,24.185,False,0.748,0.314,0.466,caution,,,
79,2.633,True,0.204,0.781,0.448,25.818,False,0.645,0.305,0.445,caution,,,
80,2.667,True,0.302,0.713,0.504,29.574,False,0.604,0.287,0.445,caution,,,
81,2.7,True,0.383,0.63,0.507,27.864,False,0.604,0.266,0.437,caution,,,
82,2.733,True,0.487,0.596,0.515,28.284,False,0.615,0.238,0.444,caution,,,
83,2.767,True,0.552,0.553,0.565,31.557,False,0.602,0.22,0.445,caution,,,
