frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
10,0.333,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
11,0.367,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
12,0.4,False,0.165,0.744,0.47,26.44,False,0.75,0.193,0.409,acceptable,,,
13,0.433,False,0.18,0.719,0.473,26.649,False,0.769,0.182,0.406,acceptable,,,
14,0.467,False,0.201,0.691,0.479,26.983,False,0.788,0.169,0.404,acceptable,,,
15,0.5,False,0.228,0.646,0.495,27.906,False,0.807,0.142,0.395,acceptable,,,
16,0.533,False,0.283,0.592,0.526,29.486,False,0.823,0.11,0.39,acceptable,,,
17,0.567,False,0.323,0.611,0.386,27.168,False,0.82,0.118,0.39,acceptable,,,
18,0.6,False,0.336,0.642,0.338,30.395,False,0.81,0.139,0.4,acceptable,,,
19,0.633,False,0.285,0.648,0.344,34.504,False,0.805,0.155,0.396,acceptable,,,
20,0.667,False,0.149,0.677,0.274,24.245,False,0.78,0.246,0.396,acceptable,,,
21,0.7,True,0.075,0.729,0.24,24.378,False,0.721,0.351,0.416,caution,,,
22,0.733,True,0.037,0.778,0.239,26.62,False,0.676,0.41,0.432,caution,,,
23,0.767,True,0.019,0.816,0.221,24.299,False,0.636,0.424,0.433,caution,,,
24,0.8,True,0.009,0.873,0.22,25.236,False,0.606,0.399,0.429,caution,,,
25,0.833,True,0.005,0.917,0.202,22.955,False,0.595,0.324,0.407,caution,,,
26,0.867,True,0.002,0.922,0.101,,False,0.592,0.246,0.37,caution,,,
27,0.9,True,0.014,0.87,0.051,,False,0.598,0.245,0.357,caution,,,
28,0.933,True,0.093,0.755,0.025,,False,0.627,0.278,0.363,caution,,,
29,0.967,True,0.184,0.794,0.013,,False,0.664,0.297,0.4,caution,,,
30,1.0,True,0.247,0.897,0.151,30.242,False,0.706,0.292,0.452,caution,,,
31,1.033,True,0.302,0.948,0.211,28.927,False,0.727,0.281,0.478,caution,,,
32,1.067,True,0.369,0.974,0.225,26.69,False,0.748,0.269,0.497,caution,,,
33,1.1,True,0.428,0.987,0.225,25.816,False,0.77,0.27,0.515,caution,,,
34,1.133,True,0.473,0.994,0.214,24.133,False,0.768,0.275,0.526,caution,,,
35,1.167,True,0.505,0.997,0.213,24.819,False,0.769,0.276,0.534,caution,,,
36,1.2,True,0.501,0.998,0.213,24.978,False,0.783,0.286,0.539,caution,,,
37,1.233,True,0.421,0.967,0.199,22.989,False,0.793,0.327,0.531,caution,,,
38,1.267,True,0.365,0.902,0.212,25.725,False,0.777,0.387,0.527,caution,,,
39,1.3,True,0.327,0.859,0.106,,False,0.761,0.417,0.508,caution,,,
40,1.333,True,0.309,0.807,0.053,,False,0.761,0.418,0.489,caution,,,
41,1.367,True,0.309,0.773,0.027,,False,0.769,0.416,0.48,caution,,,
42,1.4,True,0.314,0.753,0.013,,False,0.772,0.417,0.476,caution,,,
43,1.433,True,0.328,0.738,0.007,,False,0.768,0.423,0.477,caution,,,
44,1.467,True,0.335,0.725,0.003,,False,0.767,0.426,0.476,caution,,,
45,1.5,True,0.343,0.714,0.002,,False,0.771,0.427,0.477,caution,,,
46,1.533,True,0.359,0.685,0.001,,False,0.767,0.43,0.474,caution,,,
47,1.567,True,0.375,0.659,0.0,4.751,False,0.76,0.434,0.473,caution,,,
48,1.6,True,0.388,0.634,0.0,3.977,False,0.75,0.44,0.471,caution,,,
49,1.633,True,0.393,0.617,0.074,11.937,False,0.742,0.445,0.476,caution,,,
50,1.667,True,0.385,0.607,0.155,14.904,False,0.733,0.446,0.48,caution,,,
51,1.7,True,0.361,0.615,0.23,18.214,False,0.709,0.482,0.493,caution,,,
52,1.733,True,0.323,0.626,0.266,20.591,False,0.705,0.514,0.502,caution,,,
53,1.767,True,0.284,0.641,0.235,17.105,False,0.715,0.535,0.503,caution,,,
54,1.8,True,0.249,0.656,0.274,20.97,False,0.728,0.533,0.504,caution,,,
55,1.833,True,0.201,0.694,0.211,14.296,False,0.74,0.508,0.489,caution,,,
56,1.867,True,0.175,0.761,0.19,15.961,False,0.75,0.481,0.487,caution,,,
57,1.9,True,0.203,0.787,0.204,17.641,False,0.754,0.453,0.49,caution,,,
58,1.933,True,0.241,0.786,0.23,18.925,False,0.757,0.405,0.484,caution,,,
59,1.967,True,0.242,0.775,0.185,14.894,False,0.765,0.362,0.464,caution,,,
60,2.0,True,0.257,0.765,0.242,20.48,False,0.765,0.323,0.456,caution,,,
61,2.033,True,0.334,0.755,0.395,29.203,False,0.762,0.278,0.469,caution,,,
62,2.067,True,0.28,0.753,0.452,27.829,False,0.808,0.267,0.467,caution,,,
63,2.1,True,0.153,0.722,0.382,20.914,False,0.881,0.206,0.418,caution,,,
64,2.133,True,0.099,0.651,0.311,17.392,False,0.941,0.197,0.391,caution,,,
65,2.167,True,0.087,0.592,0.286,18.442,False,0.97,0.189,0.376,caution,,,
66,2.2,True,0.213,0.511,0.41,28.719,False,0.957,0.152,0.383,caution,,,
67,2.233,True,0.184,0.444,0.429,25.653,False,0.919,0.139,0.355,caution,,,
68,2.267,True,0.323,0.506,0.531,32.144,False,0.874,0.122,0.393,caution,,,
69,2.3,True,0.357,0.566,0.581,32.077,False,0.807,0.098,0.398,caution,,,
70,2.333,True,0.309,0.586,0.567,29.387,False,0.771,0.077,0.378,caution,,,
71,2.367,True,0.24,0.607,0.633,34.422,False,0.756,0.093,0.378,caution,,,
72,2.4,True,0.195,0.657,0.621,31.342,False,0.756,0.116,0.386,caution,,,
73,2.433,True,0.24,0.706,0.567,27.984,False,0.788,0.153,0.418,caution,,,
74,2.467,True,0.275,0.739,0.558,29.218,False,0.806,0.181,0.443,caution,,,
75,2.5,True,0.316,0.724,0.477,23.84,False,0.761,0.238,0.453,caution,,,
76,2.533,True,0.349,0.723,0.408,21.852,False,0.704,0.25,0.448,caution,,,
77,2.567,True,0.41,0.726,0.397,23.501,False,0.64,0.256,0.453,caution,,,
78,2.6,True,0.46,0.725,0.425,25.891,False,0.59,0.258,0.458,caution,,,
79,2.633,True,0.463,0.745,0.456,27.046,False,0.553,0.263,0.462,caution,,,
80,2.667,True,0.489,0.718,0.499,28.949,False,0.544,0.266,0.466,caution,,,
81,2.7,True,0.554,0.653,0.522,29.05,False,0.55,0.261,0.467,caution,,,
82,2.733,True,0.62,0.606,0.551,30.322,False,0.557,0.239,0.467,caution,,,
83,2.767,True,0.656,0.6,0.596,32.428,False,0.566,0.225,0.474,caution,,,
84,2.8,True,0.652,0.611,0.616,32.229,False,0.581,0.225,0.48,caution,,,
