frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
9,0.3,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
10,0.333,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
11,0.367,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
12,0.4,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
13,0.433,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
14,0.467,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
15,0.5,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
16,0.533,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
17,0.567,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
18,0.6,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
19,0.633,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
20,0.667,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
21,0.7,False,0.172,0.569,0.636,32.266,False,0.726,0.331,0.437,acceptable,,,
22,0.733,False,0.223,0.552,0.599,29.685,False,0.752,0.324,0.441,acceptable,,,
23,0.767,False,0.252,0.548,0.59,30.335,False,0.769,0.341,0.454,acceptable,,,
24,0.8,False,0.267,0.554,0.581,30.023,False,0.779,0.358,0.464,acceptable,,,
25,0.833,False,0.275,0.552,0.596,31.412,False,0.784,0.381,0.476,acceptable,,,
26,0.867,False,0.27,0.54,0.625,32.874,False,0.789,0.422,0.491,acceptable,,,
27,0.9,False,0.267,0.52,0.655,33.971,False,0.79,0.465,0.504,acceptable,,,
28,0.933,False,0.27,0.512,0.628,31.06,False,0.735,0.505,0.506,acceptable,,,
29,0.967,False,0.283,0.529,0.6,29.987,False,0.665,0.526,0.506,acceptable,,,
30,1.0,True,0.292,0.571,0.583,29.852,False,0.591,0.474,0.485,caution,,,
31,1.033,True,0.361,0.597,0.534,26.954,False,0.613,0.366,0.465,caution,,,
32,1.067,True,0.397,0.633,0.447,22.574,False,0.656,0.262,0.44,caution,,,
33,1.1,True,0.403,0.632,0.322,23.757,False,0.686,0.203,0.413,caution,,,
34,1.133,True,0.39,0.616,0.262,24.212,False,0.686,0.14,0.379,caution,,,
35,1.167,True,0.345,0.615,0.239,25.069,False,0.683,0.107,0.356,caution,,,
36,1.2,True,0.25,0.673,0.287,33.407,False,0.693,0.116,0.358,caution,,,
37,1.233,True,0.165,0.697,0.298,31.706,False,0.666,0.189,0.368,caution,,,
38,1.267,True,0.082,0.691,0.302,31.343,False,0.621,0.254,0.367,caution,,,
39,1.3,True,0.041,0.722,0.281,28.169,False,0.606,0.27,0.366,caution,,,
40,1.333,True,0.021,0.784,0.303,32.76,False,0.59,0.256,0.369,caution,,,
41,1.367,True,0.01,0.856,0.352,38.108,False,0.562,0.209,0.366,caution,,,
42,1.4,True,0.005,0.769,0.176,,False,0.599,0.198,0.331,caution,,,
43,1.433,True,0.003,0.806,0.088,,False,0.675,0.209,0.345,caution,,,
44,1.467,True,0.088,0.896,0.044,,False,0.732,0.237,0.394,caution,,,
45,1.5,True,0.175,0.948,0.022,,False,0.771,0.247,0.429,caution,,,
46,1.533,True,0.247,0.974,0.011,,False,0.821,0.285,0.468,caution,,,
47,1.567,True,0.302,0.987,0.006,,False,0.833,0.335,0.501,caution,,,
48,1.6,True,0.331,0.98,0.003,,False,0.817,0.378,0.517,caution,,,
49,1.633,True,0.336,0.911,0.001,,False,0.777,0.441,0.521,caution,,,
50,1.667,True,0.337,0.844,0.001,,False,0.754,0.451,0.507,caution,,,
51,1.7,True,0.346,0.786,0.0,,False,0.749,0.453,0.497,caution,,,
52,1.733,True,0.349,0.744,0.0,,False,0.765,0.44,0.487,caution,,,
53,1.767,True,0.366,0.713,0.0,,False,0.787,0.421,0.481,caution,,,
54,1.8,True,0.378,0.674,0.0,,False,0.798,0.416,0.476,caution,,,
55,1.833,True,0.388,0.653,0.0,,False,0.79,0.425,0.475,caution,,,
56,1.867,True,0.394,0.632,0.0,,False,0.769,0.439,0.474,caution,,,
57,1.9,True,0.401,0.619,0.0,8.839,False,0.751,0.447,0.473,caution,,,
58,1.933,True,0.401,0.614,0.0,9.052,False,0.742,0.448,0.471,caution,,,
59,1.967,True,0.402,0.612,0.004,10.603,False,0.737,0.449,0.471,caution,,,
60,2.0,True,0.386,0.633,0.058,17.77,False,0.718,0.489,0.488,caution,,,
61,2.033,True,0.336,0.669,0.236,39.028,False,0.789,0.498,0.517,caution,,,
62,2.067,True,0.168,0.742,0.217,16.957,False,0.884,0.407,0.479,caution,,,
63,2.1,True,0.084,0.771,0.109,0.905,False,0.934,0.405,0.464,caution,,,
64,2.133,True,0.042,0.835,0.168,-5.982,False,0.905,0.369,0.457,caution,,,
65,2.167,True,0.021,0.838,0.178,-9.042,False,0.871,0.332,0.436,caution,,,
66,2.2,True,0.011,0.815,0.176,4.144,False,0.856,0.28,0.409,caution,,,
67,2.233,True,0.005,0.787,0.098,10.689,False,0.86,0.262,0.389,caution,,,
68,2.267,True,0.003,0.76,0.161,17.838,False,0.846,0.231,0.376,caution,,,
69,2.3,True,0.001,0.729,0.21,12.007,False,0.866,0.254,0.386,caution,,,
70,2.333,True,0.001,0.617,0.19,8.264,False,0.874,0.19,0.34,caution,,,
71,2.367,True,0.0,0.522,0.239,19.359,False,0.887,0.13,0.307,caution,,,
72,2.4,True,0.159,0.482,0.347,25.921,False,0.857,0.113,0.331,caution,,,
73,2.433,True,0.251,0.583,0.404,26.146,False,0.765,0.158,0.377,caution,,,
74,2.467,True,0.242,0.658,0.435,26.286,False,0.698,0.165,0.386,caution,,,
75,2.5,True,0.202,0.677,0.424,24.451,False,0.709,0.141,0.374,caution,,,
76,2.533,True,0.187,0.757,0.391,22.521,False,0.79,0.144,0.397,caution,,,
77,2.567,True,0.188,0.813,0.396,24.03,False,0.833,0.169,0.424,caution,,,
78,2.6,True,0.215,0.827,0.326,18.948,False,0.856,0.208,0.442,caution,,,
79,2.633,True,0.249,0.816,0.259,16.698,False,0.851,0.223,0.444,caution,,,
80,2.667,True,0.249,0.801,0.269,19.79,False,0.83,0.249,0.448,caution,,,
81,2.7,True,0.294,0.742,0.361,25.876,False,0.807,0.274,0.46,caution,,,
82,2.733,True,0.361,0.663,0.564,36.823,False,0.791,0.265,0.473,caution,,,
83,2.767,True,0.455,0.633,0.747,45.37,False,0.782,0.239,0.493,caution,,,
84,2.8,True,0.489,0.629,0.812,40.682,False,0.785,0.231,0.503,caution,,,
