frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,hip_displacement_proxy,landing_asymmetry_score,core_risk,status
0,0.0,False,0.0,0.0,0.0,0.0,0.0,acceptable
1,0.033,False,0.0,0.0,0.0,0.0,0.0,acceptable
2,0.067,False,0.0,0.0,0.0,0.0,0.0,acceptable
3,0.1,False,0.0,0.0,0.0,0.0,0.0,acceptable
4,0.133,False,0.0,0.0,0.0,0.0,0.0,acceptable
5,0.167,False,0.0,0.0,0.0,0.0,0.0,acceptable
6,0.2,False,0.0,0.0,0.0,0.0,0.0,acceptable
7,0.233,False,0.0,0.0,0.0,0.0,0.0,acceptable
8,0.267,False,0.0,0.0,0.0,0.0,0.0,acceptable
9,0.3,False,0.0,0.0,0.0,0.0,0.0,acceptable
10,0.333,True,0.15283267346210405,0.7289142377710823,0.7447225976157332,0.20694752618578777,0.43338082983113124,caution
11,0.367,True,0.13789226276650887,0.6897831434738689,0.7425237420963382,0.14273065528993753,0.3958476862613913,caution
12,0.4,True,0.2505774123554955,0.5885284830539179,0.8102215822914584,0.13769207231899422,0.3963994900426412,caution
13,0.433,True,0.24618515480618888,0.657738832853185,0.7988701905945073,0.14371164455393035,0.41668828500024496,caution
14,0.467,True,0.21156112088748955,0.6647089144414388,0.8288399909306812,0.16010200895649024,0.4220866002843033,caution
15,0.5,True,0.03990154001825082,0.727292691662535,0.7073585327074077,0.2620203691612792,0.4239790246149695,caution
16,0.533,True,0.0,0.789818890661219,0.7018628669651441,0.352170873960993,0.4654849031294849,caution
17,0.567,True,0.08322240079917874,0.7816204500593718,0.7092298399328332,0.24205796489972478,0.4422353788824759,caution
18,0.6,True,0.11060493639333312,0.769957564577431,0.7422541763038258,0.25124591539424146,0.45238245348545436,caution
19,0.633,True,0.0,0.8545649032316072,0.670831376404067,0.23430842578777597,0.4390021264558138,caution
20,0.667,True,0.0,0.8873396703477405,0.5836848969844305,0.24664868800547163,0.4400816764539018,caution
21,0.7,True,0.022799595345365933,0.875635430665467,0.5625981265871416,0.22594916357922223,0.4307224745095123,caution
22,0.733,True,0.0,0.9644511820672806,0.5267904070490541,0.23070509814627402,0.4491007000287382,caution
23,0.767,True,0.17595041314083387,0.7148052719913079,0.6094632655986517,0.35822771457503333,0.46643085416661856,caution
24,0.8,True,0.3356871729773721,0.6020882093735009,0.6508033979412986,0.3894041709112829,0.4816758669176685,caution
25,0.833,True,0.37879742289450624,0.831235477766844,0.7537984585375546,0.3667903055691322,0.566576503638784,caution
26,0.867,True,0.6086547664785131,0.936852981233916,0.7418780422644966,0.2866678432187042,0.6144022991320984,caution
27,0.9,True,0.7077225196242061,0.9362741997296368,0.734499879784956,0.2366578323731151,0.6154319871420659,caution
28,0.933,True,0.7111143363833894,0.9511790213339517,0.7493878674184307,0.24206929583821057,0.6247090073330016,caution
29,0.967,True,0.6517630659737027,0.981241275205552,0.748784870920338,0.29060129546825536,0.6387531798083462,caution
30,1.0,True,0.49567322917769935,0.9570734994518074,0.7641900412658547,0.34852520212082627,0.6228690226032495,caution
31,1.033,True,0.5028799601239748,0.9492409982112543,0.7491085801452355,0.3482948805707871,0.6196177867097321,caution
32,1.067,True,0.38569737046724617,0.9216806329990456,0.7412317272754979,0.36624284982403615,0.5930134205229002,caution
33,1.1,True,0.38005159539627786,0.8206712506355464,0.7003702694631222,0.43414505266966075,0.579218003123769,caution
34,1.133,True,0.34662760383677743,0.7749126573185126,0.717580025722149,0.4623277259081329,0.5712510258890781,caution
35,1.167,True,0.3078756154815234,0.8197726736319677,0.743125325754163,0.4647208013670224,0.5816280045274773,caution
36,1.2,True,0.31910395941267494,0.78162447339832,0.7382308288263884,0.4405865353066887,0.5632480455833302,caution
37,1.233,True,0.371478357551274,0.7338215322728427,0.7703981211263555,0.42931238510783765,0.5602611841488041,caution
38,1.267,True,0.36008369974497084,0.7321822199551433,0.7719145186683328,0.4311682405525052,0.5583674679291638,caution
39,1.3,True,0.37343628405446827,0.6984878847929734,0.7712575659709606,0.4347799329577723,0.5520952336796501,caution
40,1.333,True,0.3680388832988427,0.7105710691363472,0.781483516407341,0.42827308612269327,0.5538972050047164,caution
41,1.367,True,0.3938232248419,0.6309237824397078,0.7986909593462279,0.4287391113840604,0.5379041125866476,caution
42,1.4,False,0.0,0.0,0.0,0.0,0.0,acceptable
43,1.433,False,0.0,0.0,0.0,0.0,0.0,acceptable
44,1.467,True,0.418019460273998,0.6017277692492684,0.7430235575708868,0.42813437426822765,0.5254227874590928,caution
45,1.5,True,0.4176792594751057,0.6001289382284956,0.7565729007025892,0.419764990209973,0.5239782150424487,caution
46,1.533,True,0.348283463203083,0.653741312412033,0.6841669753890562,0.5080996566510207,0.5462390125004423,caution
47,1.567,True,0.3320080297394051,0.6761247198611162,0.7296506578936779,0.5531046548883296,0.5722732498011829,caution
48,1.6,True,0.37296810191848195,0.626648470158534,0.6977791499692254,0.5541401599511545,0.5612040899095445,caution
49,1.633,True,0.2402509508122368,0.6954038815311148,0.8156882188681357,0.4633982092461192,0.5412139606881439,caution
50,1.667,True,0.274853085801582,0.7318792750012122,0.7889988833366198,0.39907765159001185,0.5325614102176772,caution
51,1.7,True,0.2498032329748883,0.7735510566407569,0.7664689660700961,0.3927365677715728,0.5344541072177695,caution
52,1.733,True,0.24929285970925677,0.8131283174544883,0.7542209020909829,0.38384329449657406,0.5412753555656462,caution
53,1.767,True,0.5564669735743767,0.7942018564462903,0.7613178065487086,0.20528876469617585,0.5356026902747303,caution
54,1.8,True,0.23218586919212497,0.7816450728571194,0.7787203533788575,0.4539977759808502,0.556637970295687,caution
